CustomerID,Balance,CreditScore,Branch
,,720,Hyd
,N/A,,Hyd
,N/A,720,Blr
C1,,,Blr
C1,50000,720,Blr
,"50,000",,Hyd
C1,"50,000",,Chn 
,,720,N/A
C1,50000,,Hyd
C1,,720,Blr
C2,"50,000",,Chn 
,50000,,N/A
C2,,,Hyd
,"50,000",720,Hyd
C2,,720,Hyd
,,,Blr
C1,,,Chn 
C2,N/A,720,Hyd
C2,50000,720,Chn 
,,720,Blr
C2,"50,000",720,N/A
C2,"50,000",720,Chn 
C1,50000,720,Chn 
,N/A,,Hyd
C2,,720,Chn 
C2,"50,000",720,N/A
C2,"50,000",720,Hyd
C2,50000,720,N/A
C2,"50,000",,N/A
C2,N/A,720,Hyd
C2,,720,Blr
C1,"50,000",720,Chn 
C2,N/A,,N/A
C2,50000,,Hyd
,,,Blr
,,720,Chn 
C1,N/A,720,Chn 
,50000,,Hyd
C2,,,Hyd
C2,50000,720,Hyd
C1,,720,Blr
C2,,,Blr
C2,50000,720,Blr
C1,50000,720,Chn 
C1,50000,720,N/A
C1,50000,720,Hyd
C1,50000,720,N/A
,50000,720,Blr
C2,"50,000",,Blr
C1,50000,,Hyd
C1,N/A,720,Blr
C1,"50,000",720,Blr
C1,N/A,720,Hyd
,"50,000",720,N/A
C1,,720,Blr
,,720,Blr
C1,"50,000",720,Blr
,"50,000",720,Blr
,"50,000",720,Blr
C2,50000,720,N/A
C2,"50,000",720,Blr
,,720,Blr
C2,N/A,,N/A
C2,N/A,720,Chn 
C2,50000,720,Chn 
,50000,,Chn 
C2,N/A,,Hyd
,N/A,,Chn 
C2,50000,720,Chn 
C1,N/A,720,Chn 
,N/A,720,N/A
,,720,Chn 
,N/A,720,Hyd
C1,"50,000",720,N/A
C1,N/A,720,Hyd
C2,50000,720,Hyd
C1,N/A,720,Blr
,"50,000",720,Blr
,50000,720,Hyd
C1,50000,,Blr
,50000,720,Blr
,"50,000",720,Hyd
C1,,720,Hyd
C2,"50,000",720,N/A
,N/A,720,Hyd
C2,,,N/A
C1,N/A,720,Blr
C1,50000,720,N/A
,50000,720,Chn 
C2,50000,,Chn 
,,720,N/A
C1,50000,720,Hyd
C2,"50,000",720,N/A
C2,50000,,Blr
C1,N/A,720,Hyd
C2,"50,000",720,Chn 
,N/A,720,Chn 
C1,50000,720,Hyd
C1,N/A,720,Chn 
,"50,000",720,Hyd
,"50,000",720,Hyd
,"50,000",720,Hyd
,,720,N/A
C1,N/A,720,N/A
C2,50000,720,Blr
C2,,720,N/A
C1,N/A,720,Blr
C2,"50,000",720,N/A
C1,,720,Hyd
C2,N/A,720,Blr
,50000,720,Blr
,"50,000",,Blr
,"50,000",720,Chn 
C2,50000,720,Chn 
C2,"50,000",720,Hyd
,50000,720,Chn 
C1,N/A,,N/A
,"50,000",,Blr
C1,"50,000",720,Blr
,N/A,720,Blr
,50000,720,Chn 
C1,N/A,720,Chn 
,N/A,720,Hyd
C2,,720,N/A
C1,"50,000",,Hyd
C1,,720,Chn 
C2,,720,Chn 
C1,50000,,N/A
,50000,720,Hyd
C1,N/A,720,Chn 
,N/A,720,Hyd
,,720,N/A
,"50,000",720,N/A
C1,50000,720,Blr
,,720,Chn 
C1,,,Chn 
C2,,720,N/A
,N/A,720,Chn 
C2,,720,N/A
C1,,720,N/A
C1,"50,000",720,Chn 
C2,"50,000",720,Hyd
C2,"50,000",,N/A
C1,50000,720,Blr
C2,"50,000",,Blr
,N/A,720,Chn 
C1,N/A,,Hyd
,N/A,720,Blr
,N/A,720,N/A
C1,,720,Blr
C1,50000,720,N/A
C1,N/A,720,N/A
C2,"50,000",720,Blr
,50000,720,Hyd
,N/A,720,Chn 
,,,Hyd
C1,50000,,Hyd
,N/A,,Hyd
,"50,000",720,N/A
C2,N/A,720,Blr
C2,"50,000",720,Blr
,,,Hyd
,50000,720,N/A
C1,"50,000",,N/A
C2,50000,,Blr
C2,50000,720,Chn 
C2,,,N/A
C2,"50,000",,Hyd
,"50,000",720,Hyd
C1,"50,000",720,Hyd
C2,50000,,N/A
,,,Blr
,,,Blr
C2,"50,000",,Chn 
C1,N/A,720,N/A
,"50,000",720,Blr
C1,50000,720,N/A
C2,50000,720,Hyd
C2,50000,720,N/A
C1,50000,720,N/A
C2,,,N/A
,"50,000",720,Blr
,50000,720,N/A
C1,50000,,Hyd
C2,N/A,720,Hyd
C1,"50,000",720,Hyd
C1,N/A,,N/A
C2,50000,720,Blr
C1,,720,N/A
C2,N/A,720,Chn 
,"50,000",720,Hyd
C1,N/A,720,N/A
C1,N/A,720,N/A
C1,50000,720,N/A
,N/A,720,Hyd
,,720,N/A
C2,"50,000",720,Chn 
,,720,Hyd
,50000,,N/A
C2,,720,Chn 
C2,,,N/A
C2,50000,,N/A
C1,50000,720,N/A
C1,,,Blr
,"50,000",720,Hyd
C1,,,Chn 
C2,"50,000",720,Chn 
C2,50000,,Hyd
,50000,720,Blr
,N/A,720,Blr
C2,N/A,,Blr
C2,N/A,720,Hyd
C1,,,Chn 
,"50,000",,Chn 
,50000,,Chn 
,N/A,720,Blr
C2,"50,000",720,Hyd
,N/A,720,Hyd
C1,"50,000",,N/A
C2,N/A,720,N/A
,"50,000",,N/A
C1,,720,Hyd
C2,50000,720,Blr
,N/A,720,Hyd
C1,50000,720,N/A
,"50,000",,N/A
C2,,720,Blr
,"50,000",720,N/A
C1,,720,Blr
C2,"50,000",,N/A
C2,"50,000",720,Blr
C2,"50,000",720,Blr
C2,N/A,720,N/A
C1,N/A,720,Chn 
C2,,720,Blr
C1,"50,000",720,N/A
C1,,720,Hyd
,"50,000",720,Hyd
C2,50000,720,N/A
C2,N/A,720,Chn 
,"50,000",720,Chn 
C2,"50,000",,Chn 
,N/A,720,N/A
C1,50000,720,Hyd
,N/A,,Chn 
,"50,000",720,Chn 
,,720,Blr
C1,50000,720,N/A
C1,50000,720,N/A
,50000,720,N/A
,50000,,Chn 
C1,"50,000",720,Hyd
C1,"50,000",720,Hyd
C1,"50,000",720,Chn 
,,720,N/A
C2,N/A,,Hyd
C1,50000,720,Blr
C1,,720,Hyd
C2,"50,000",,Hyd
C1,"50,000",720,Hyd
,50000,720,N/A
C1,N/A,720,Blr
,,720,N/A
C2,N/A,720,N/A
,N/A,720,Hyd
C1,N/A,720,N/A
,N/A,,Blr
C1,50000,,Hyd
,50000,720,Hyd
,"50,000",,Hyd
C2,,720,Blr
C1,N/A,720,Hyd
,"50,000",,Chn 
C1,50000,720,Chn 
C2,,720,Chn 
,50000,,Chn 
,"50,000",720,Chn 
C2,"50,000",720,Blr
C2,"50,000",,N/A
C1,N/A,720,Chn 
,N/A,720,Blr
C2,50000,720,N/A
C1,50000,,Hyd
C1,"50,000",,Chn 
C1,N/A,720,Hyd
,,720,Hyd
C1,"50,000",,Hyd
C1,50000,720,N/A
C2,50000,,Chn 
C1,N/A,720,N/A
C1,,,Chn 
C2,N/A,720,N/A
C2,,720,N/A
,,720,N/A
C2,"50,000",720,Blr
,,,N/A
C2,N/A,720,N/A
,N/A,720,Hyd
C2,50000,720,Hyd
C1,"50,000",720,N/A
C2,50000,720,Chn 
C1,"50,000",,Chn 
C1,50000,720,Blr
C1,N/A,720,N/A
,50000,720,N/A
C1,50000,,Blr
,,,Blr
,,720,Blr
C2,,,Hyd
C2,,,N/A
C1,50000,,Blr
C1,,,Chn 
C1,50000,,Hyd
C1,,720,Hyd
C1,,720,Hyd
,50000,720,Hyd
,50000,720,Chn 
C2,"50,000",720,N/A
C2,,720,Blr
C2,50000,,Blr
,N/A,,Hyd
C1,,,Hyd
,,720,N/A
C1,"50,000",720,Hyd
C2,,720,Hyd
C1,N/A,720,Hyd
,50000,720,Chn 
C1,50000,720,Blr
C2,"50,000",,Chn 
,50000,720,N/A
,50000,720,N/A
,,,Blr
C2,,720,Blr
,50000,720,Hyd
C2,50000,,N/A
C1,,,Blr
,,720,Hyd
C1,N/A,,N/A
C1,"50,000",720,Chn 
C2,,720,N/A
C1,,720,N/A
,,,Chn 
C1,N/A,,Blr
C1,"50,000",,Hyd
C1,"50,000",720,Hyd
,N/A,720,N/A
C1,"50,000",,N/A
,N/A,,Hyd
C2,50000,720,N/A
C2,50000,720,N/A
,"50,000",720,Chn 
,"50,000",720,Hyd
C2,50000,,Hyd
,"50,000",,N/A
C1,,,Blr
C1,50000,,N/A
,,,Hyd
C2,"50,000",720,Chn 
C1,"50,000",720,Hyd
,N/A,720,Hyd
,,720,Chn 
C1,N/A,720,Chn 
C1,50000,720,N/A
C2,50000,,Hyd
C1,,720,Hyd
C2,50000,720,N/A
C2,50000,720,Blr
C1,N/A,,Blr
C1,N/A,720,N/A
C2,N/A,720,N/A
,"50,000",720,N/A
C1,"50,000",720,N/A
C2,,,Blr
,50000,,N/A
,N/A,720,Chn 
,N/A,,Chn 
C2,50000,720,N/A
C1,50000,,N/A
C1,N/A,720,Hyd
C1,N/A,720,Blr
,N/A,720,Blr
C1,N/A,720,Hyd
C2,,720,Chn 
C2,"50,000",720,Hyd
,,720,N/A
,N/A,720,N/A
C2,,720,N/A
,,,N/A
C1,N/A,720,N/A
C2,,720,N/A
C2,"50,000",720,Hyd
C2,,720,N/A
,,720,Blr
,50000,,Blr
C2,"50,000",720,Hyd
,N/A,,Chn 
C2,,,Chn 
C1,N/A,720,Chn 
C2,50000,,Blr
C1,,720,Hyd
C2,50000,720,Hyd
C1,50000,,N/A
C1,50000,720,N/A
C1,,,Hyd
C2,"50,000",720,N/A
C1,,720,N/A
C1,"50,000",720,Blr
C2,N/A,720,Chn 
C1,50000,,N/A
C1,50000,720,Hyd
C1,N/A,720,N/A
C1,N/A,,Blr
C1,N/A,,Hyd
,,,N/A
,,,Blr
,"50,000",720,Blr
,50000,720,Blr
,50000,,Hyd
C2,50000,720,Hyd
C1,,720,Blr
,N/A,,Blr
,"50,000",,Hyd
,N/A,,Chn 
C2,N/A,720,N/A
C2,"50,000",720,N/A
C1,N/A,720,Blr
C1,50000,720,N/A
,"50,000",720,Hyd
C1,50000,,Hyd
C2,,720,N/A
C1,"50,000",720,N/A
,N/A,,N/A
,,720,Hyd
C2,"50,000",720,Blr
,,,Hyd
C1,"50,000",,Blr
C1,50000,720,Chn 
C1,"50,000",,Hyd
,N/A,720,Hyd
,,720,Hyd
C2,"50,000",720,Blr
C2,50000,720,Hyd
,50000,,N/A
,,720,Blr
C2,50000,720,Blr
C2,"50,000",720,Chn 
C2,50000,720,Chn 
C2,,720,Hyd
,,720,Chn 
C2,N/A,720,Hyd
C2,50000,720,Hyd
C1,,,Hyd
,50000,720,Hyd
C2,N/A,720,Chn 
C1,50000,,Chn 
C1,"50,000",,Blr
,50000,,Blr
C2,"50,000",,Chn 
C1,N/A,720,Chn 
C2,"50,000",,N/A
C2,N/A,,Blr
C2,N/A,720,N/A
C2,N/A,720,Chn 
,,,Chn 
C2,50000,720,Hyd
C1,"50,000",720,Chn 
,50000,720,N/A
,"50,000",720,N/A
C1,50000,720,N/A
C2,N/A,720,Chn 
C2,"50,000",720,Blr
C2,"50,000",,Chn 
C2,,,Blr
C2,N/A,720,N/A
C2,"50,000",,Hyd
C2,50000,,Hyd
,,720,Chn 
,"50,000",,Blr
,"50,000",,Blr
,N/A,720,Hyd
C2,"50,000",,N/A
,"50,000",720,Blr
C2,N/A,720,Blr
C2,"50,000",720,Blr
,"50,000",720,N/A
,,,N/A
,,720,Hyd
C2,N/A,720,N/A
C2,"50,000",,Hyd
C1,50000,,N/A
C1,,720,Blr
,,,N/A
C2,,,N/A
C2,"50,000",720,N/A
C1,50000,720,Chn 
C1,,,Blr
,50000,,N/A
C1,50000,720,Hyd
C1,,720,N/A
C1,"50,000",720,Blr
,,720,Hyd
,"50,000",720,Blr
C2,50000,720,Chn 
C2,,720,N/A
C2,N/A,720,Blr
C2,"50,000",,Chn 
C2,,,Hyd
C1,,720,N/A
C1,N/A,,Hyd
C1,N/A,720,Chn 
C2,N/A,720,Hyd
C2,"50,000",720,Blr
C2,"50,000",,Blr
C2,50000,720,Blr
C1,N/A,720,Blr
C2,,,Hyd
,"50,000",720,Hyd
C2,N/A,720,Blr
C1,"50,000",720,Blr
C2,50000,,Hyd
C1,50000,720,Hyd
,N/A,720,N/A
C1,50000,,N/A
C2,50000,,N/A
C1,50000,720,N/A
,,720,Blr
C2,N/A,,Chn 
C2,"50,000",720,Hyd
C2,,,Hyd
C1,,720,Hyd
,,720,Chn 
,50000,720,Chn 
C2,N/A,720,Chn 
C2,,,Blr
,50000,720,Chn 
C2,,720,Hyd
C1,N/A,,Hyd
C1,N/A,,N/A
,50000,720,N/A
C2,N/A,720,Blr
C2,50000,720,Chn 
,"50,000",720,Chn 
C2,,,Hyd
,50000,,N/A
C1,"50,000",720,Blr
C2,"50,000",720,N/A
C2,50000,720,Blr
,"50,000",720,N/A
C2,,720,Blr
C2,N/A,720,Chn 
C1,50000,720,Blr
C2,50000,,Hyd
C2,N/A,720,N/A
,N/A,,N/A
C2,50000,720,Blr
C2,50000,720,Chn 
C1,"50,000",720,N/A
C2,N/A,,Chn 
,,720,Blr
C2,50000,720,Hyd
,,720,N/A
C1,,720,N/A
C2,50000,,Hyd
,,720,Blr
C1,N/A,,Blr
C1,N/A,,Chn 
C2,50000,,N/A
C1,"50,000",720,Chn 
C2,50000,,Blr
C2,,720,Hyd
,50000,720,N/A
,50000,720,Blr
,N/A,720,Blr
C1,N/A,720,Hyd
C2,N/A,720,Hyd
C1,,,Hyd
C2,N/A,,Hyd
,,720,Blr
,50000,720,Chn 
C2,50000,720,Hyd
C1,50000,720,Hyd
C2,N/A,,N/A
,"50,000",720,Blr
,,720,N/A
C1,,,Chn 
C2,50000,720,Blr
C2,N/A,,N/A
C2,"50,000",,N/A
C1,N/A,,Chn 
C2,50000,720,Chn 
C1,N/A,720,N/A
,N/A,720,Chn 
C1,N/A,,Hyd
,,720,N/A
C1,"50,000",720,N/A
C1,N/A,720,N/A
,N/A,720,Hyd
,"50,000",720,Hyd
C1,"50,000",,N/A
C1,N/A,720,N/A
C2,"50,000",720,N/A
C2,50000,720,Hyd
,N/A,,Blr
,,,N/A
C1,50000,,Blr
,"50,000",720,Hyd
,,720,Blr
C2,,720,Chn 
,N/A,720,Chn 
C1,N/A,,Blr
C2,"50,000",720,Hyd
C1,N/A,,Blr
,50000,720,Chn 
C1,N/A,720,Blr
,50000,,N/A
,"50,000",720,Chn 
,"50,000",,N/A
C2,50000,720,Hyd
,,720,Hyd
,,720,Blr
C2,N/A,720,Hyd
,,,Hyd
,N/A,,Blr
,"50,000",720,Hyd
C2,"50,000",720,N/A
C1,,,Hyd
,"50,000",720,Hyd
C2,"50,000",,Blr
,50000,720,Hyd
C2,"50,000",720,N/A
,50000,,Chn 
,N/A,720,Blr
C1,,720,Chn 
,50000,720,N/A
C2,,,Chn 
C2,N/A,720,Blr
,,720,Chn 
C1,,720,N/A
,,720,Chn 
,50000,,N/A
,50000,,Chn 
